,team1,team2,date,year,toss_winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining,toss_decision_bat,toss_decision_bowl,winner_Chennai Super Kings,winner_Deccan Chargers,winner_Delhi Capitals,winner_Kings XI Punjab,winner_Kochi Tuskers Kerala,winner_Kolkata Knight Riders,winner_Mumbai Indians,winner_Pune Warriors,winner_Rajasthan Royals,winner_Rising Pune Supergiants,winner_Royal Challengers Bangalore,winner_Sunrisers Hyderabad
0,5,1,2008-04-27,2008,1,1,1,0,0,10,48,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2,9,2009-04-19,2009,2,2,1,0,0,10,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,3,4,2010-03-18,2010,3,3,1,0,0,10,56,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,5,4,2011-05-20,2011,5,4,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,5,2012-05-20,2012,4,5,0,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,9,6,2013-04-10,2013,6,6,1,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,2,3,2015-04-26,2015,3,3,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,13,7,2016-04-21,2016,7,7,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,13,8,2017-04-07,2017,8,8,1,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,9,2,2017-04-30,2017,9,9,1,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10,9,3,2018-05-14,2018,3,3,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,2,4,2008-04-19,2008,4,2,0,0,0,9,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12,1,2,2008-04-22,2008,1,2,0,0,0,9,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,6,8,2008-04-26,2008,8,6,0,0,0,9,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,9,3,2008-05-12,2008,3,9,0,0,0,9,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15,5,6,2008-05-14,2008,5,5,1,0,0,9,37,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16,3,5,2008-05-28,2008,5,5,1,0,0,9,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17,6,9,2008-05-31,2008,9,6,0,0,0,9,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0
