team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
MUMBAI INDIANS,DECCAN CHARGERS,27-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,bowl,Deccan Chargers,1,,,10,48
DELHI CAPITALS,KINGS XI PUNJAB,19-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Newlands, Cape Town",Delhi Capitals,bowl,Delhi Capitals,1,,,10,7
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,18-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,10,56
MUMBAI INDIANS,RAJASTHAN ROYALS,20-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Rajasthan Royals,0,,,10,
RAJASTHAN ROYALS,MUMBAI INDIANS,20-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Mumbai Indians,0,,,10,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,10-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings,bowl,Chennai Super Kings,1,,,10,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,26-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,10,
GUJARAT LIONS,SUNRISERS HYDERABAD,21-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,10,
GUJARAT LIONS,KOLKATA KNIGHT RIDERS,7-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,10,
KINGS XI PUNJAB,DELHI CAPITALS,30-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,10,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,14-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,10,
DELHI CAPITALS,RAJASTHAN ROYALS,19-Apr-08,2008,03:00 PM GMT / 08:30 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat,Delhi Capitals,0,,,9,29
DECCAN CHARGERS,DELHI CAPITALS,22-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bat,Delhi Capitals,0,,,9,42
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,26-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Chennai Super Kings,0,,,9,18
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,12-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,0,,,9,26
MUMBAI INDIANS,CHENNAI SUPER KINGS,14-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,9,37
